FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
HG00096	HG00096	-0.07648856	-0.198386	0.05735373	0.03562765	-4.588342e-05	-0.005641554	0.007210726	0.01036338	-0.01387382	-0.008175781	0.0009384772	-0.01706808	-0.01097673	0.04488415	0.02825579	0.04409724	0.01294506	0.01896328	-0.0186372	0.007309824	-0.01274683	-0.01156632	-0.009898275	0.003503542	0.006119276	-0.02198939	-0.01136383	-0.002166306	-0.002081929	0.00500091
HG00097	HG00097	-0.07863428	-0.1880355	0.04839778	0.04141782	0.007214981	-0.01414687	0.002989088	0.004743778	-0.009472825	0.00524682	-0.004956846	-0.006900944	-0.0006503871	0.05208285	0.02031847	0.07232824	0.003961071	-0.01362064	-0.009412073	0.0005322924	-0.007344213	-0.01325803	-0.005049235	0.000740274	-0.02232913	0.001908693	0.003642817	-0.02309639	2.22858e-05	-0.002398919
HG00099	HG00099	-0.0781436	-0.1947883	0.05251533	0.03375767	-0.003836504	-0.00425955	0.002523495	0.0009996715	-0.008348908	-0.001394012	-0.002252587	-0.003083948	-0.00700372	0.04046037	0.02478089	0.05586775	0.01288107	-0.008840741	0.001659415	0.0089827	0.001903782	0.01273392	0.02793703	0.007110682	-0.005194791	-0.01156931	-0.01586572	0.009758585	0.008290286	-0.003068615
HG00100	HG00100	-0.0730514	-0.1927372	0.05456585	0.032648	0.01357432	0.008282175	-0.002091042	-0.01709413	-0.007893261	0.01158034	0.01071633	-0.01664815	-0.0124555	0.04542405	0.01265907	0.07503764	0.002307635	-0.00687838	-0.008175716	0.001991723	-0.009431567	-0.005587587	0.006216994	0.003463185	0.01262389	0.02253809	0.02220624	0.001072493	0.007092781	0.008155558
HG00101	HG00101	-0.07141563	-0.1925256	0.05909206	0.03394325	-0.004920333	8.805272e-05	0.00313426	0.006730483	0.007810084	-0.02319998	0.01356237	-0.004081035	-0.002502778	0.05212573	0.01423658	0.07648607	0.008817986	0.001344392	0.006136639	0.003898328	0.001323478	-0.001891948	0.01068791	0.008233491	0.008380254	0.004238051	-0.01657586	-0.001817225	-0.007511129	0.005086842
HG00102	HG00102	-0.08319943	-0.1939904	0.04809273	0.03859894	-0.01085367	0.001127728	-0.002601291	0.007160549	0.01675845	-0.01076082	0.006548497	-0.02572992	-0.01812064	0.03634927	0.01900541	0.07785873	-0.00262169	0.0009011999	-0.01576724	0.008053382	-0.003317484	0.006141691	0.01094712	-0.00877477	0.00301614	0.00755314	0.004346189	-0.01313331	-0.01955189	0.01175572
HG00103	HG00103	-0.0717935	-0.1881357	0.05015334	0.03859955	0.0132682	0.003371053	-0.01276175	0.00847317	-0.004753795	0.004563167	0.005154142	-0.01569553	-0.007690537	0.05092269	0.00113676	0.04995016	-0.003115461	-0.001450142	-0.001124031	-0.01011552	0.02347165	0.0140519	0.01090916	0.003876882	-0.01015833	-0.0096238	0.002196022	0.0160095	0.009442825	0.006793016
HG00105	HG00105	-0.07918329	-0.1941417	0.0584135	0.03671805	0.005013425	-0.005085418	-0.002663879	-0.002245147	0.01232903	-0.002990145	0.007582623	-0.001069338	0.009707409	0.04664391	0.003664737	0.05812186	-0.01366229	0.01782349	-0.002108575	0.004126425	-0.0137725	0.002164548	0.001412861	-0.002010408	0.008726955	0.002606121	-0.009899463	0.005588706	0.02230045	0.002172863
HG00106	HG00106	-0.07831877	-0.1948115	0.03954384	0.02870472	0.008074781	-0.01189705	0.0003922907	0.004105865	0.004074704	-0.01488733	0.007835591	-0.007596002	0.01967884	0.04714907	0.01926401	0.06154039	0.01322419	-0.01601829	0.01188061	0.004271407	0.01997798	0.01391773	0.005543494	0.008638583	0.001538385	0.002106925	0.01557803	-0.005617726	0.01659235	-0.009756002
HG00107	HG00107	-0.07782735	-0.1874561	0.05550908	0.03377197	-0.0008974086	-0.004607301	0.002482588	0.005597048	0.005401843	-0.02259578	0.008739871	-0.00682982	-0.002008318	0.04710461	0.01665332	0.06050231	-0.01589478	-0.01151765	-0.008372547	0.003452141	0.01439531	0.000249537	0.0249021	-0.01288132	0.00335535	9.695267e-05	-0.00577781	-0.003256073	-0.0004765203	-0.006707988
HG00108	HG00108	-0.07430265	-0.1928145	0.0594374	0.03893391	-0.005413389	-0.005847644	0.000179131	0.008284937	0.004059878	-0.006254854	0.01665412	-0.0002180643	-0.005090427	0.02623984	0.01225495	0.0634135	-0.004886218	-0.006156154	0.002689426	0.01288579	0.01222811	0.007828227	0.01546778	0.007586132	0.0003404285	0.005748068	0.01099916	0.009569655	-0.01587194	0.002927851
HG00109	HG00109	-0.07669511	-0.1914632	0.05730689	0.03767989	0.01010262	-0.01352919	-9.189705e-05	-0.004789967	-0.01213183	0.007788891	0.006659854	-0.01010017	-0.01343635	0.04682293	0.01861795	0.04365256	-0.005669513	-0.002204443	0.01182277	-0.002138974	-0.004313406	0.006681791	0.006083457	0.01110756	-0.01496798	-0.003461659	-0.005158855	-0.0264166	0.006092496	0.007942395
HG00110	HG00110	-0.07981368	-0.1896743	0.05221455	0.03440231	-0.0003467662	-0.00451848	0.002786102	0.008804728	0.004295868	0.006572384	0.01353191	0.005571689	-0.008996255	0.03829713	0.01747657	0.06686547	-0.001109539	0.01193935	-0.01126496	-0.007721674	0.01129886	-0.006152353	-0.01075832	0.0135516	0.008420804	-0.01293422	-0.002128118	-0.008059547	0.02324039	-0.01973095
HG00111	HG00111	-0.07621685	-0.1917327	0.04753994	0.03520278	-0.00779369	-0.00897695	-0.001301024	0.01485055	0.003601033	-0.008073852	0.004664439	-0.02043659	-0.01222137	0.05434543	0.00913887	0.09009395	-0.00858506	0.007150736	0.01217556	0.00301528	0.004066684	-0.003962685	0.01943463	-0.01222372	0.005374512	0.01237997	0.009345853	-0.002291018	-0.002949426	-0.01222139
HG00112	HG00112	-0.08165168	-0.1917181	0.04709471	0.03788433	-0.01523804	-0.00146556	-0.01140015	0.01332789	-0.005436917	0.0008065197	0.007367041	-0.009171474	-0.0009320631	0.04972074	-0.003217724	0.08322745	0.01956447	0.009411788	-0.01211964	-0.002421149	0.001699437	0.002715177	0.01115962	-0.01900901	-0.01204914	-0.002022464	-0.0006621854	-0.01626	0.003167189	0.004119646
HG00113	HG00113	-0.07177875	-0.1884761	0.04817765	0.0328898	0.001545961	0.001464202	0.01045347	0.00262626	0.0001296725	-0.0004523874	0.01158098	-0.00756312	0.000146413	0.05776774	0.02016462	0.06034121	0.0129534	0.008020145	0.004253205	0.01330516	0.009619333	0.01322235	0.01309054	-0.005019066	-0.01248036	-0.003741152	0.01170587	-0.009861645	0.01101619	-0.01442077
HG00114	HG00114	-0.07329872	-0.1911677	0.05715515	0.04380197	-0.000241555	-0.005180943	0.009655508	0.00952353	-0.00828388	-0.02723492	-0.006540162	-0.007075268	-0.002404297	0.05434103	0.01755629	0.0692996	-0.004924919	-0.006481866	-0.005094123	-0.002741045	-0.008998646	0.02223739	-0.004956122	1.75759e-05	-0.02457927	0.01896777	0.003407166	-0.01146573	-0.002755275	0.01635699
HG00115	HG00115	-0.07585196	-0.1923995	0.05495577	0.03232782	-0.0003246417	0.008394449	0.01142499	0.01403433	0.006019058	0.005261629	0.003979922	-0.01238264	-0.005747899	0.06138675	0.004625515	0.0585786	-0.003045809	0.003997099	-0.003846573	0.01286914	-0.01103663	0.002787046	0.001342494	0.01268705	-0.02507932	0.01228235	0.005473004	-0.0100208	-0.0004536818	0.004737106
HG00116	HG00116	-0.07858562	-0.1970126	0.05400184	0.03613795	-0.008626489	-0.009704649	0.0006094556	0.0119249	-0.006634615	0.01695276	-0.008199468	-0.0107143	-0.01721383	0.06518722	0.01858511	0.07112007	-0.005589404	-0.006366413	-0.006758918	0.01460299	0.001569168	0.02629386	-0.0199113	0.0001010842	-0.006811517	0.01230883	0.0005500289	-0.02275447	-0.003323996	0.007006916
HG00117	HG00117	-0.07652714	-0.1871382	0.05127054	0.03372911	-0.006185048	0.003781194	0.01032921	0.01335558	0.01714953	-0.02403617	-0.005287084	-0.0003281212	-0.0003369298	0.05187942	0.02662124	0.06987766	0.01667956	-0.004469162	0.007044405	-0.003246579	-0.0171497	0.008691693	0.01696693	0.02869327	-0.01060021	0.0186716	-0.002197544	0.0004043747	0.005084389	0.01628027
HG00118	HG00118	-0.07685004	-0.1959472	0.05182668	0.03312488	-0.01187014	-0.01746233	0.001370526	0.003235336	0.004357904	-0.0005011522	0.007545183	-0.004056765	-0.002540093	0.05140043	0.02110448	0.04444382	0.01141754	-0.00677655	-0.01404291	0.008415131	0.02785042	0.007668512	0.01196029	0.01088405	-0.01180455	-0.01323876	0.002811948	-0.02328955	0.008231498	0.01016191
HG00119	HG00119	-0.07024384	-0.1891958	0.05495987	0.03208178	0.005997023	-0.006498985	-0.0009264944	-0.00589881	-0.007031723	-0.004100356	0.007154612	0.0005821534	-0.002373144	0.0625286	0.009338624	0.07382659	0.007876231	-0.005337984	0.002246861	0.008480853	0.003528638	0.005696325	0.007386752	-0.01057435	-0.0002744052	-0.003578988	0.02163356	-0.001527284	-0.008866218	-0.008746074
HG00120	HG00120	-0.07548703	-0.1977197	0.0630493	0.0323049	-0.008881278	-1.997311e-05	0.006583668	0.01691002	-0.01191603	0.01537775	-0.003587281	-0.00745963	-0.007952923	0.06633694	0.01825749	0.09436267	0.001220601	-0.01324756	0.008064923	0.02092708	-0.006450999	0.01649107	0.004398233	-0.0100631	-0.002980037	0.01643587	-0.01376478	-0.02363213	-0.01021509	0.01337752
HG00121	HG00121	-0.07474825	-0.1951014	0.05144554	0.04019552	-0.003863717	0.002821479	0.01083408	0.001879547	-0.006294087	-0.01558446	-0.000870786	-0.01158594	-0.007434364	0.04838879	0.01570296	0.06773567	0.00310644	-0.01410283	0.0179024	0.000375569	0.005771833	-0.002280523	0.005731552	-0.02075773	-0.01402845	-0.01069987	-0.01451811	-0.008648605	-0.01668309	0.007360097
HG00122	HG00122	-0.07784273	-0.1889634	0.05018627	0.03630373	0.002914204	-0.004010844	-0.002962174	0.009723679	-0.009564248	0.001176009	0.007082762	-0.01465522	-0.001577265	0.0461677	0.02100035	0.03862445	0.007233352	-0.0001252807	-0.004735029	0.0007343546	-0.005294255	-0.004121231	0.01033122	-0.01047816	0.006315211	-0.00788738	0.009810921	-0.02136999	-0.01209038	-0.001995652
HG00123	HG00123	-0.07706859	-0.1933744	0.05035341	0.0336627	-0.009233228	0.01098724	0.001328526	-0.001947036	0.006237897	-0.001420435	0.00138431	0.001770721	-0.01854902	0.06027775	0.01565652	0.09165389	-0.006376791	0.001798254	-0.01684246	0.0006341884	0.01859906	-0.009812596	0.006526903	-0.0007446717	-0.003881791	0.01445362	0.001356055	-0.01136427	0.009843453	-0.004593652
HG00125	HG00125	-0.0786185	-0.1906357	0.05107267	0.03283957	-0.002059525	0.006197675	-0.005338746	0.007263543	0.005858867	-0.01494066	-0.004139523	-0.02014785	0.004490232	0.05583804	0.02655802	0.07419666	0.02046324	-0.002080322	-0.02202969	0.01838518	0.02279147	-0.001994765	0.01974241	-0.01086981	0.003459971	0.027083	-0.002345652	-0.02796909	-0.01772059	0.02120576
HG00126	HG00126	-0.07014461	-0.2039597	0.05131572	0.03428226	0.005804395	-0.0005798106	0.01075193	-0.0042115	0.002099194	-0.004053749	0.01861758	-0.0135643	-0.004581427	0.02169166	0.01787118	0.05904642	0.008160737	-0.01040823	-0.00196153	-0.01092672	0.02111241	9.150468e-05	0.003611461	0.005977363	0.0151413	0.004066726	-0.0001178102	0.0005881079	-0.007971066	-0.00886602
HG00127	HG00127	-0.07646123	-0.1993541	0.04867583	0.03005207	0.01155129	-0.00411871	-0.006620566	0.01068603	-0.01017068	-0.002883173	0.008391394	0.007398973	-0.01705885	0.04800603	0.005332322	0.06159926	0.01122935	0.0002582675	0.001053399	0.0003976468	0.01264317	-0.004386817	-0.01107428	0.003189219	-0.00650677	0.01578014	-0.006421533	-0.01742507	-0.004697531	-0.02019625
HG00128	HG00128	-0.07719652	-0.198227	0.05111681	0.03832355	-0.001366522	-0.008286951	-0.002104487	0.003672595	0.01410771	0.005000995	0.01163538	-0.004936433	-0.005774891	0.03387394	0.002273874	0.04093616	0.004276595	-0.002742074	-0.0111871	0.004637439	0.00415219	0.004780972	0.001131629	-0.004080386	-0.01571385	0.01791011	0.003700366	-0.001235389	0.004615136	0.0143299
HG00129	HG00129	-0.07377739	-0.1900358	0.06186242	0.03661684	-0.007026004	0.005632756	-0.01001578	0.009239939	0.0003371283	-0.001840453	0.02069486	-0.003202053	-0.003263717	0.03339705	0.01261548	0.01845261	0.01644995	0.01522071	0.001470606	-0.005860883	0.02478041	0.005928965	0.007077028	0.006432777	-0.009378288	-0.01118755	-0.006215774	-0.004357012	-0.008744548	-0.0009748221
HG00130	HG00130	-0.06776213	-0.1935586	0.05676607	0.03901022	0.01341496	0.0004816332	-0.01087017	0.0008164783	0.01964696	-0.005495258	0.00171302	-0.02079983	-0.00662358	0.04391006	0.002921725	0.04622638	0.02274972	0.01428343	0.01210925	-0.006961838	0.006611443	-0.01279804	0.007632096	0.004619535	-0.007854468	-0.002995032	0.01126996	-0.02624234	-0.03093625	0.0002976549
HG00131	HG00131	-0.07577058	-0.1903563	0.05340912	0.0333204	0.004585233	0.004545464	0.003182161	0.008371621	0.002672099	-0.008062658	0.006921697	0.007690168	-0.008487795	0.02276504	0.01882021	0.03000072	-0.005726538	-0.004799293	-0.00842634	0.01898562	0.001498274	-0.004954675	0.009741445	0.006898812	0.005637332	9.094066e-05	-0.001019739	0.001607171	0.01638379	-0.0004698828
HG00132	HG00132	-0.0749745	-0.1954293	0.04700159	0.03526117	0.01487822	0.003213094	0.01346724	-0.000242438	-0.000614299	0.006237257	0.005237263	-0.0107105	0.003594676	0.0450695	0.02708435	0.04133524	0.007924314	0.01153039	-0.002065459	-0.01034667	-0.01415454	0.004448772	0.0007788126	0.01523685	0.009081952	-0.004338115	0.001333824	0.001439161	0.009873289	-0.001366516
