IID	sire
HG00096	EUR
HG00097	EUR
HG00099	EUR
HG00100	EUR
HG00101	EUR
HG00102	EUR
HG00103	EUR
HG00105	EUR
HG00106	EUR
HG00107	EUR
HG00108	EUR
HG00109	EUR
HG00110	EUR
HG00111	EUR
HG00112	EUR
HG00113	EUR
HG00114	EUR
HG00115	EUR
HG00116	EUR
HG00117	EUR
HG00118	NA
HG00119	EUR
HG00120	EUR
HG00121	EUR
HG00122	EUR
HG00123	EUR
HG00125	EUR
HG00126	EUR
HG00127	EUR
HG00128	EUR
HG00129	EUR
HG00130	EUR
HG00131	EUR
HG00132	EUR
HG00133	EUR
HG00136	EUR
HG00137	EUR
HG00138	EUR
HG00139	EUR
HG00140	EUR
HG00141	EUR
HG00142	EUR
HG00143	EUR
HG00145	EUR
HG00146	EUR
HG00148	EUR
HG00149	EUR
HG00150	EUR
HG00151	NA
HG00154	EUR
HG00155	EUR
HG00157	NA
HG00158	EUR
HG00159	EUR
HG00160	EUR
HG00171	EUR
HG00173	NA
HG00174	NA
HG00176	EUR
HG00177	NA
HG00178	EUR
HG00179	EUR
HG00180	EUR
HG00181	EUR
HG00182	EUR
HG00183	EUR
HG00185	EUR
HG00186	EUR
HG00187	EUR
HG00188	EUR
HG00189	EUR
HG00190	NA
HG00231	EUR
HG00232	EUR
HG00233	EUR
HG00234	EUR
HG00235	EUR
HG00236	EUR
HG00237	EUR
HG00238	EUR
HG00239	EUR
HG00240	EUR
HG00242	EUR
HG00243	EUR
HG00244	EUR
HG00245	EUR
HG00246	EUR
HG00250	EUR
HG00251	EUR
HG00252	EUR
HG00253	EUR
HG00254	EUR
HG00255	EUR
HG00256	EUR
HG00257	EUR
HG00258	EUR
HG00259	EUR
HG00260	EUR
HG00261	EUR
HG00262	EUR
HG00263	EUR
HG00264	EUR
HG00265	EUR
HG00266	EUR
HG00267	EUR
HG00268	EUR
HG00269	EUR
HG00271	EUR
HG00272	EUR
HG00273	EUR
HG00274	EUR
HG00275	EUR
HG00276	EUR
HG00277	EUR
HG00278	EUR
HG00280	EUR
HG00281	EUR
HG00282	EUR
HG00284	EUR
