IID,sire,hare
HG00096,EUR,EUR
HG00097,EUR,EUR
HG00099,EUR,EUR
HG00100,EUR,EUR
HG00101,EUR,EUR
HG00102,EUR,EUR
HG00103,EUR,EUR
HG00105,EUR,EUR
HG00106,EUR,EUR
HG00107,EUR,EUR
HG00108,EUR,EUR
HG00109,EUR,EUR
HG00110,EUR,EUR
HG00111,EUR,EUR
HG00112,EUR,EUR
HG00113,EUR,EUR
HG00114,EUR,EUR
HG00115,EUR,EUR
HG00116,EUR,EUR
HG00117,EUR,EUR
HG00118,NA,EUR
HG00119,EUR,EUR
HG00120,EUR,EUR
HG00121,EUR,EUR
HG00122,EUR,EUR
HG00123,EUR,EUR
HG00125,EUR,EUR
HG00126,EUR,EUR
HG00127,EUR,EUR
HG00128,EUR,EUR
HG00129,EUR,EUR
HG00130,EUR,EUR
HG00131,EUR,EUR
HG00132,EUR,EUR
HG00133,EUR,EUR
HG00136,EUR,EUR
HG00137,EUR,EUR
HG00138,EUR,EUR
HG00139,EUR,EUR
HG00140,EUR,EUR
HG00141,EUR,EUR
HG00142,EUR,EUR
HG00143,EUR,EUR
HG00145,EUR,EUR
HG00146,EUR,EUR
HG00148,EUR,EUR
HG00149,EUR,EUR
HG00150,EUR,EUR
HG00151,NA,EUR
HG00154,EUR,EUR
HG00155,EUR,EUR
HG00157,NA,EUR
HG00158,EUR,EUR
HG00159,EUR,EUR
HG00160,EUR,EUR
HG00171,EUR,EUR
HG00173,NA,EUR
HG00174,NA,EUR
HG00176,EUR,EUR
HG00177,NA,EUR
HG00178,EUR,EUR
HG00179,EUR,EUR
HG00180,EUR,EUR
HG00181,EUR,EUR
HG00182,EUR,EUR
HG00183,EUR,EUR
HG00185,EUR,EUR
HG00186,EUR,EUR
HG00187,EUR,EUR
HG00188,EUR,EUR
HG00189,EUR,EUR
HG00190,NA,EUR
HG00231,EUR,EUR
HG00232,EUR,EUR
HG00233,EUR,EUR
HG00234,EUR,EUR
HG00235,EUR,EUR
HG00236,EUR,EUR
HG00237,EUR,EUR
HG00238,EUR,EUR
HG00239,EUR,EUR
HG00240,EUR,EUR
HG00242,EUR,EUR
HG00243,EUR,EUR
HG00244,EUR,EUR
HG00245,EUR,EUR
HG00246,EUR,EUR
HG00250,EUR,EUR
HG00251,EUR,EUR
HG00252,EUR,EUR
HG00253,EUR,EUR
HG00254,EUR,EUR
HG00255,EUR,EUR
HG00256,EUR,EUR
HG00257,EUR,EUR
HG00258,EUR,EUR
HG00259,EUR,EUR
HG00260,EUR,EUR
HG00261,EUR,EUR
HG00262,EUR,EUR
HG00263,EUR,EUR
HG00264,EUR,EUR
HG00265,EUR,EUR
HG00266,EUR,EUR
HG00267,EUR,EUR
HG00268,EUR,EUR
HG00269,EUR,EUR
HG00271,EUR,EUR
HG00272,EUR,EUR
HG00273,EUR,EUR
HG00274,EUR,EUR
HG00275,EUR,EUR
HG00276,EUR,EUR
HG00277,EUR,EUR
HG00278,EUR,EUR
HG00280,EUR,EUR
HG00281,EUR,EUR
HG00282,EUR,EUR
HG00284,EUR,EUR
HG00285,EUR,EUR
HG00288,EUR,EUR
HG00290,EUR,EUR
HG00304,EUR,EUR
HG00306,EUR,EUR
HG00308,EUR,EUR
HG00309,EUR,EUR
HG00310,EUR,EUR
HG00311,EUR,EUR
HG00313,EUR,EUR
HG00315,EUR,EUR
HG00318,EUR,EUR
HG00319,EUR,EUR
HG00320,EUR,EUR
HG00321,EUR,EUR
HG00323,EUR,EUR
HG00324,EUR,EUR
HG00325,EUR,EUR
HG00326,EUR,EUR
HG00327,EUR,EUR
HG00328,EUR,EUR
HG00329,NA,EUR
HG00330,EUR,EUR
HG00331,NA,EUR
HG00332,EUR,EUR
HG00334,EUR,EUR
HG00335,EUR,EUR
HG00336,EUR,EUR
HG00337,EUR,EUR
HG00338,EUR,EUR
HG00339,EUR,EUR
HG00341,EUR,EUR
HG00342,EUR,EUR
HG00343,NA,EUR
HG00344,EUR,EUR
HG00345,EUR,EUR
HG00346,NA,EUR
HG00349,NA,EUR
HG00350,EUR,EUR
HG00351,EUR,EUR
HG00353,EUR,EUR
HG00355,EUR,EUR
HG00356,EUR,EUR
HG00357,NA,EUR
HG00358,EUR,EUR
HG00360,EUR,EUR
HG00361,EUR,EUR
HG00362,EUR,EUR
HG00364,EUR,EUR
HG00365,EUR,EUR
HG00366,NA,EUR
HG00367,EUR,EUR
HG00368,NA,EUR
HG00369,NA,EUR
HG00371,EUR,EUR
HG00372,EUR,EUR
HG00373,EUR,EUR
HG00375,EUR,EUR
HG00376,EUR,EUR
HG00378,EUR,EUR
HG00379,EUR,EUR
HG00380,EUR,EUR
HG00381,EUR,EUR
HG00382,EUR,EUR
HG00383,EUR,EUR
HG00384,EUR,EUR
HG00551,NA,HIS
HG00553,HIS,HIS
HG00554,HIS,HIS
HG00637,HIS,HIS
HG00638,HIS,HIS
HG00640,HIS,HIS
HG00641,HIS,HIS
HG00731,HIS,HIS
HG00732,HIS,HIS
HG00734,NA,HIS
HG00736,HIS,HIS
HG00737,HIS,HIS
HG00739,HIS,HIS
HG00740,HIS,HIS
HG00742,HIS,HIS
HG00743,HIS,HIS
HG01047,HIS,HIS
HG01048,HIS,HIS
HG01049,HIS,HIS
HG01051,HIS,HIS
HG01052,HIS,HIS
HG01054,HIS,HIS
HG01055,HIS,HIS
HG01058,HIS,HIS
HG01060,NA,HIS
HG01061,HIS,HIS
HG01063,HIS,HIS
HG01064,HIS,HIS
HG01066,HIS,HIS
HG01067,HIS,HIS
HG01069,HIS,HIS
HG01070,HIS,HIS
HG01072,HIS,HIS
HG01073,NA,HIS
HG01075,HIS,HIS
HG01077,HIS,HIS
HG01079,HIS,HIS
HG01080,HIS,HIS
HG01082,HIS,HIS
HG01083,HIS,HIS
HG01085,HIS,HIS
HG01086,HIS,HIS
HG01088,HIS,HIS
HG01089,HIS,HIS
HG01092,HIS,HIS
HG01094,HIS,HIS
HG01095,HIS,HIS
HG01097,HIS,HIS
HG01098,HIS,HIS
HG01101,HIS,HIS
